	tweet_created_at	tweet_text	tweet_user_screen_name
154	2017-05-09 15:27:16	Interesting perspective. @IBM Watson 'is a joke,' says Social Capital CEO | @cnbc https://t.co/obpeEjDbXG	MDecoder1
155	2017-05-09 14:40:26	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya.  https://t.co/aWKiADblyd Wow, that was hard to hear.	Dayachong
156	2017-05-09 14:50:39	WoW: IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/IyhZpAWu5j	sgr0ver
157	2017-05-09 15:15:07	IBM's Watson 'is a joke,'says Social Capital CEO Palihapitiya https://t.co/420asAPiJE #artificialinteligence #AI #Watson #Google #Amazon #F8	hichintan
158	2017-05-09 15:31:37	#IBM #'s Watson 'is a joke,' says Social Capital CEO Palihapitiya. Read more: https://t.co/4ZBrftWNCu $IBM	_it_services
159	2017-05-09 15:26:01	@chamath is right ... Watson is a joke. $IBM	biggercapital
160	2017-05-09 15:01:45	What has @chamath discovered? @IBMWatson discovers how our bodies work @IBMFacts https://t.co/hAEDOACGBw	PatFrank15
161	2017-05-09 15:27:20	*Yea. It is- IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/amTzOpylkf	Daemon_Blak
162	2017-05-09 15:57:24	Bunch of IBM corporate accounts pushing back against @chamath’s “Watson is a joke” line yesterday. Oh, thirst...	BlairReeves
163	2017-05-09 15:41:30	@IBMWatson doing leadership work that even critics can't ignore, @chamath https://t.co/OZX6sLh0lj	ebarbini
164	2017-05-09 16:39:27	No joke, I'd like to see my firm go head-to-head with IBM on A.I., says venture capitalist Palihapitiya https://t.co/3McjhUJ76r #ai	gotbot
165	2017-05-09 17:17:59	"""IBM Watson is a joke"" says VC Social Capital's CEO https://t.co/1UAgtl0dtq"	nickmcquire
166	2017-05-09 17:06:15	IBM's Watson is a joke - @chamath  https://t.co/44M54aZXXG	mekalav
167	2017-05-09 16:35:18	"""IBM’s Watson ’is a joke,’ says Social Capital CEO Palihapitiya - CNBC"" https://t.co/PAY8RqGVqL"	millennialinvst
168	2017-05-09 16:37:11	I love @chamath   Cutting through the massive @IBM  marketing machine mumbo jumbo    #AI https://t.co/ZzNUZ850jM	phelanrfp
